county14,sldl12,county,cntyname2,pop10,afact,AFACT2
2013,37, ,Aleutians East Borough AK,3141,1,0.176
2016,37, ,Aleutians West Census Area AK,5561,1,0.311
2020,11, ,Anchorage Borough AK,6825,0.023,0.383
2020,12, ,Anchorage Borough AK,18079,0.062,1
2020,13, ,Anchorage Borough AK,17931,0.061,1
2020,14, ,Anchorage Borough AK,17806,0.061,1
2020,15, ,Anchorage Borough AK,17797,0.061,1
2020,16, ,Anchorage Borough AK,17925,0.061,1
2020,17, ,Anchorage Borough AK,17667,0.061,1
2020,18, ,Anchorage Borough AK,17743,0.061,1
2020,19, ,Anchorage Borough AK,17642,0.06,1
2020,20, ,Anchorage Borough AK,17755,0.061,1
2020,21, ,Anchorage Borough AK,17702,0.061,1
2020,22, ,Anchorage Borough AK,17809,0.061,1
2020,23, ,Anchorage Borough AK,17693,0.061,1
2020,24, ,Anchorage Borough AK,17924,0.061,1
2020,25, ,Anchorage Borough AK,17678,0.061,1
2020,26, ,Anchorage Borough AK,18072,0.062,1
2020,27, ,Anchorage Borough AK,17778,0.061,1
2050,36, ,Bethel Census Area AK,9466,0.556,0.563
2050,37, ,Bethel Census Area AK,7547,0.444,0.423
2060,36, ,Bristol Bay Borough AK,997,1,0.059
2068,38, ,Denali Borough AK,1826,1,0.108
2070,36, ,Dillingham Census Area AK,3889,0.802,0.231
2070,37, ,Dillingham Census Area AK,958,0.198,0.054
2090,1, ,Fairbanks North Star Borough AK,18348,0.188,1
2090,2, ,Fairbanks North Star Borough AK,18415,0.189,1
2090,3, ,Fairbanks North Star Borough AK,18414,0.189,1
2090,4, ,Fairbanks North Star Borough AK,18339,0.188,1
2090,5, ,Fairbanks North Star Borough AK,18309,0.188,1
2090,38, ,Fairbanks North Star Borough AK,5756,0.059,0.341
2100,32, ,Haines Borough AK,16,0.006,0.001
2100,34, ,Haines Borough AK,2492,0.994,0.139
2105,32, ,Hoonah-Angoon Census Area,591,0.275,0.033
2105,34, ,Hoonah-Angoon Census Area,1559,0.725,0.087
2110,31, ,Juneau Borough AK,18251,0.584,1
2110,32, ,Juneau Borough AK,13024,0.416,0.732
2122,28, ,Kenai Peninsula Borough AK,18181,0.328,1
2122,29, ,Kenai Peninsula Borough AK,18185,0.328,1
2122,30, ,Kenai Peninsula Borough AK,18230,0.329,1
2122,36, ,Kenai Peninsula Borough AK,804,0.015,0.048
2130,33, ,Ketchikan Gateway Borough AK,13477,1,0.789
2150,35, ,Kodiak Island Borough AK,13592,1,0.802
2164,36, ,Lake and Peninsula Borough AK,978,0.6,0.058
2164,37, ,Lake and Peninsula Borough AK,653,0.4,0.037
2170,6, ,Matanuska-Susitna Borough AK,7147,0.08,0.423
2170,7, ,Matanuska-Susitna Borough AK,17673,0.199,1
2170,8, ,Matanuska-Susitna Borough AK,17657,0.198,1
2170,9, ,Matanuska-Susitna Borough AK,17767,0.2,1
2170,10, ,Matanuska-Susitna Borough AK,17750,0.199,1
2170,11, ,Matanuska-Susitna Borough AK,11001,0.124,0.617
2180,39, ,Nome Census Area AK,9492,1,0.564
2185,40, ,North Slope Borough AK,9430,1,0.556
2188,40, ,Northwest Arctic Borough AK,7523,1,0.444
2195,32, ,Petersburg Census Area,3202,0.839,0.18
2195,34, ,Petersburg Census Area,613,0.161,0.034
2198,33, ,Prince of Wales-Hyder Census Area,1229,0.221,0.072
2198,34, ,Prince of Wales-Hyder Census Area,4330,0.779,0.242
2220,34, ,Sitka Borough AK,8881,1,0.497
2230,32, ,Skagway Municipality,968,1,0.054
2240,6, ,Southeast Fairbanks Census Area AK,4797,0.682,0.284
2240,39, ,Southeast Fairbanks Census Area AK,2232,0.318,0.133
2261,6, ,Valdez-Cordova Census Area AK,4933,0.512,0.292
2261,35, ,Valdez-Cordova Census Area AK,2697,0.28,0.159
2261,39, ,Valdez-Cordova Census Area AK,2006,0.208,0.119
2270,36, ,Wade Hampton Census Area AK (D),329,0.044,0.02
2270,38, ,Wade Hampton Census Area AK (D),7130,0.956,0.423
2275,33, ,Wrangell City and Borough,2369,1,0.139
2282,35, ,Yakutat Borough,662,1,0.039
2290,36, ,Yukon-Koyukuk Census Area AK,346,0.062,0.021
2290,38, ,Yukon-Koyukuk Census Area AK,2145,0.384,0.127
2290,39, ,Yukon-Koyukuk Census Area AK,3097,0.554,0.184
